BP;;;;;;;GBPEUR;;;;;;OILUS;;;;;
Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen;;Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;;Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
09.04.2021;298,4;299,5;294;295;48119553;;09.04.2021;0,86754;0,86975;0,86466;0,86826;;09.04.2021;17,53;17,625;17,53;17,5853;11551
08.04.2021;307,05;308,3;295,55;298,45;45881462;;08.04.2021;0,86396;0,86813;0,86216;0,86754;;08.04.2021;17,61;17,67;17,52;17,67;8854
07.04.2021;303,35;309,85;301,25;305,45;52343064;;07.04.2021;0,85889;0,86631;0,8582;0,86395;;07.04.2021;17,6;17,73;17,33;17,674;9943
06.04.2021;295;306,1;293,4;299,85;86433178;;06.04.2021;0,84936;0,85941;0,84859;0,8588;;06.04.2021;17,805;17,988;17,58;17,67;35367
01.04.2021;296,85;296,95;289,8;289,8;48976567;;05.04.2021;0,85048;0,85112;0,84722;0,84938;;05.04.2021;17,81;17,81;17,145;17,43;49299
31.03.2021;300;301,6;294,65;294,65;42616572;;02.04.2021;0,85147;0,85203;0,85032;0,85062;;01.04.2021;17,87;18,18;17,54;18,11;47181
30.03.2021;301,7;306,55;299,2;301,5;31140489;;01.04.2021;0,8509;0,85334;0,84931;0,85139;;31.03.2021;17,68;17,945;17,415;17,52;32436
29.03.2021;301,6;303,55;298,2;300,5;44177690;;31.03.2021;0,85283;0,85376;0,85028;0,85092;;30.03.2021;17,74;17,93;17,6869;17,7385;7326
26.03.2021;299,3;303,95;297,1;302,65;55768753;;30.03.2021;0,85492;0,85567;0,85233;0,85292;;29.03.2021;17,85;18,0999;17,681;18,09;16751
25.03.2021;300,2;300,35;289,7;293,7;50280532;;29.03.2021;0,85518;0,85625;0,85065;0,85501;;26.03.2021;17,94;18,02;17,811;17,91;50618
24.03.2021;292,7;302,6;291,8;301,55;55064907;;26.03.2021;0,8569;0,85717;0,85353;0,85477;;25.03.2021;17,5;17,56;17;17,26;63422
23.03.2021;302,45;303,05;294,15;295,75;93977665;;25.03.2021;0,86341;0,86414;0,85623;0,85685;;24.03.2021;17,62;18,02;17,59;17,92;22521
22.03.2021;303;307,8;301,55;307,25;64448673;;24.03.2021;0,86177;0,86452;0,86143;0,8634;;23.03.2021;17,45;17,65;16,98;17,04;31686
19.03.2021;304,55;309,8;300,65;306,7;129349678;;23.03.2021;0,8609;0,86451;0,85979;0,86176;;22.03.2021;18,13;18,15;17,95;17,95;17190
18.03.2021;316,35;317,1;309,95;311,95;39066697;;22.03.2021;0,85879;0,86279;0,85768;0,86089;;19.03.2021;17,56;18,06;17,37;18,01;44730
17.03.2021;309,95;315,6;309,15;313,8;69755338;;19.03.2021;0,85586;0,85902;0,85355;0,85863;;18.03.2021;18,47;18,493;17,23;17,46;73873
16.03.2021;316,3;317,35;307,75;311,25;54169289;;18.03.2021;0,85788;0,85844;0,85336;0,85586;;17.03.2021;18,73;18,89;18,6135;18,76;22583
15.03.2021;323,4;324,95;314,3;316,15;36594480;;17.03.2021;0,85631;0,8604;0,85408;0,85786;;16.03.2021;18,75;18,91;18,6271;18,82;27417
12.03.2021;318;324,1;317,65;323,45;29485852;;16.03.2021;0,85813;0,86397;0,85587;0,85631;;15.03.2021;18,89;19;18,65;19;19549
11.03.2021;319,15;321,3;313,05;319,65;39594966;;15.03.2021;0,85809;0,85995;0,85545;0,85813;;12.03.2021;19,06;19,1397;18,94;19,04;22777
10.03.2021;311;318,65;309,95;315;45089517;;12.03.2021;0,85672;0,85985;0,85543;0,8587;;11.03.2021;18,9;19,15;18,7701;19,15;20274
09.03.2021;319,45;323,85;311,15;315,25;48901741;;11.03.2021;0,85591;0,85819;0,85484;0,85672;;10.03.2021;18,51;18,8032;18,39;18,74;23141
08.03.2021;323;324,45;312,5;318,65;54714912;;10.03.2021;0,85687;0,85787;0,85498;0,8559;;09.03.2021;18,82;18,82;18,4793;18,4793;45942
05.03.2021;313,1;326,45;311,8;318,8;79113852;;09.03.2021;0,85734;0,85863;0,85508;0,85673;;08.03.2021;18,92;18,94;18,6008;18,68;78221
04.03.2021;305;314,45;300,2;313,1;59360830;;08.03.2021;0,86114;0,86176;0,85664;0,85756;;05.03.2021;18,9;19,08;18,82;19,067;81869
03.03.2021;299,75;304,9;296,3;304,9;52751425;;05.03.2021;0,86172;0,86519;0,86027;0,86056;;04.03.2021;17,95;18,62;17,775;18,47;69625
02.03.2021;291,8;299,25;289,75;296,6;42466979;;04.03.2021;0,86476;0,86538;0,85967;0,86172;;03.03.2021;17,44;17,8;17,44;17,64;42903
01.03.2021;298,1;299,9;294,05;297,55;42542178;;03.03.2021;0,86596;0,8668;0,86222;0,86475;;02.03.2021;17,58;17,58;17,1588;17,1588;21215
26.02.2021;300;300,85;289,05;291,75;85542566;;02.03.2021;0,86519;0,86673;0,86371;0,86596;;01.03.2021;17,81;17,81;17,27;17,36;59521
25.02.2021;300,1;308,8;300,1;304,55;81321149;;01.03.2021;0,86635;0,86684;0,862;0,86519;;26.02.2021;18,06;18,06;17,645;17,6726;26909
24.02.2021;284;299,4;282,4;298,8;93109121;;26.02.2021;0,86948;0,87309;0,8656;0,86611;;25.02.2021;18,1;18,25;18,05;18,18;37921
23.02.2021;287,25;291,4;276,85;283,5;113795489;;25.02.2021;0,86023;0,86983;0,85968;0,86945;;24.02.2021;18;18,28;17,88;18,2;47720
22.02.2021;273,1;281,95;268,7;279,95;76247048;;24.02.2021;0,86082;0,8616;0,85439;0,86029;;23.02.2021;17,63;17,87;17,42;17,82;57641
19.02.2021;265,4;273,55;263,9;272,35;84957417;;23.02.2021;0,86449;0,86542;0,8606;0,8608;;22.02.2021;17,31;17,709;17,31;17,63;84197
18.02.2021;280,3;281,35;268,55;269,4;59756797;;22.02.2021;0,86495;0,8661;0,86334;0,86425;;19.02.2021;17,27;17,3;16,94;16,9882;27202
17.02.2021;280,5;287,6;276;280,6;69601073;;19.02.2021;0,86523;0,86779;0,86404;0,86499;;18.02.2021;17,6;17,6;17,17;17,23;44479
16.02.2021;281;284,55;275,3;278,2;94624303;;18.02.2021;0,869;0,87002;0,86418;0,86523;;17.02.2021;17,27;17,53;17,18;17,53;24118
15.02.2021;266,05;279,05;264,15;278,9;102213508;;17.02.2021;0,87049;0,87187;0,86807;0,86894;;16.02.2021;17,24;17,35;17,11;17,35;73877
12.02.2021;256,85;261,8;254,75;261,8;36714525;;16.02.2021;0,87206;0,87385;0,8697;0,87048;;12.02.2021;16,62;17,15;16,62;17,075;40206
11.02.2021;259,4;260,5;255,25;257,8;64183771;;15.02.2021;0,87481;0,87486;0,87176;0,87193;;11.02.2021;16,85;16,859;16,61;16,67;29190
10.02.2021;262,55;263,45;254;259,1;71473243;;12.02.2021;0,87808;0,87912;0,87437;0,87492;;10.02.2021;16,82;16,9;16,73;16,83;113497
09.02.2021;265,5;268,05;257,4;259,7;65410333;;11.02.2021;0,87624;0,87883;0,87527;0,8781;;09.02.2021;16,58;16,77;16,52;16,76;132416
08.02.2021;253,3;263,65;252,1;261,95;77358530;;10.02.2021;0,87728;0,878;0,87517;0,87622;;08.02.2021;16,49;16,67;16,4899;16,66;35098
05.02.2021;255,55;258,15;250,5;252,05;91285362;;09.02.2021;0,8771;0,87971;0,87625;0,87732;;05.02.2021;16,42;16,42;16,265;16,3346;19695
04.02.2021;259,15;261,8;253,75;254,95;69690819;;08.02.2021;0,87745;0,8793;0,87619;0,87717;;04.02.2021;16,12;16,21;15,92;16,1578;22413
03.02.2021;255;258,9;251,05;258,3;72784840;;05.02.2021;0,87539;0,87774;0,87389;0,87705;;03.02.2021;15,91;16,119;15,909;16,0186;23606
02.02.2021;260,55;263,9;250,35;255;127749256;;04.02.2021;0,88188;0,88397;0,87485;0,8754;;02.02.2021;15,76;15,83;15,71;15,7381;19140
01.02.2021;274,25;276,3;266,45;267,1;63605096;;03.02.2021;0,88145;0,88262;0,87975;0,8819;;01.02.2021;15,3;15,44;15,1;15,44;17925
29.01.2021;272,85;278,35;271,5;271,5;37482798;;02.02.2021;0,88256;0,88369;0,87957;0,88147;;29.01.2021;15,26;15,2698;15,0253;15,04;18194
28.01.2021;275,55;282,4;271,8;276,5;50159927;;01.02.2021;0,88504;0,88528;0,88047;0,88258;;28.01.2021;15,39;15,399;15,04;15,07;11930
27.01.2021;279,2;282,7;273,95;282,35;56403948;;29.01.2021;0,88304;0,88704;0,88257;0,88571;;27.01.2021;15,15;15,32;15;15,1499;15160
26.01.2021;279,85;288,2;278,8;282,35;43495648;;28.01.2021;0,88433;0,88838;0,88271;0,88301;;26.01.2021;15,3;15,3;15,13;15,16;9490
25.01.2021;291;291,25;278,3;280,65;66487011;;27.01.2021;0,88538;0,88572;0,88128;0,88433;;25.01.2021;15,04;15,2299;14,961;15,2274;14939
22.01.2021;288,8;291,1;283,6;290;57008357;;26.01.2021;0,88799;0,89048;0,88471;0,88549;;22.01.2021;14,98;15,1914;14,87;15,07;21314
21.01.2021;302,55;303,1;292,55;293,35;42797551;;25.01.2021;0,88954;0,88966;0,88684;0,88805;;21.01.2021;15,33;15,359;15,2284;15,286;18081
20.01.2021;300,65;303,05;299,25;302,85;37313657;;22.01.2021;0,8861;0,89183;0,88597;0,88936;;20.01.2021;15,49;15,49;15,289;15,31;13258
19.01.2021;302,15;304,3;299,35;301,25;29146696;;21.01.2021;0,8869;0,88706;0,88298;0,88608;;19.01.2021;15,31;15,32;15,185;15,29;28507
18.01.2021;298,2;301;295,5;300,35;47700699;;20.01.2021;0,88959;0,89035;0,88379;0,88689;;15.01.2021;15,25;15,3;15;15,0761;11481
15.01.2021;309,9;311,15;296,6;302,45;44676583;;19.01.2021;0,88908;0,89187;0,88837;0,88959;;14.01.2021;15,29;15,5;15,2427;15,49;7417
14.01.2021;303,25;310,75;302,65;309,25;48245526;;18.01.2021;0,88887;0,89246;0,88836;0,8892;;13.01.2021;15,32;15,38;15,19;15,31;12406
13.01.2021;307,95;311,95;302,5;303,9;51923962;;15.01.2021;0,88778;0,89071;0,88668;0,88912;;12.01.2021;15,19;15,34;15,1801;15,333;21427
12.01.2021;301,95;308,85;299,3;305;54675065;;14.01.2021;0,8913;0,89162;0,88693;0,88777;;11.01.2021;14,95;15,13;14,87;15,0534;14973
11.01.2021;297,2;299,65;292,5;298,8;37867052;;13.01.2021;0,8933;0,89345;0,88837;0,89119;;08.01.2021;14,89;15,1366;14,89;15,1306;7894
08.01.2021;296,75;299,25;293,15;298,7;78224628;;12.01.2021;0,89956;0,89958;0,89205;0,8933;;07.01.2021;14,73;14,78;14,69;14,78;13131
